Campaign,Date,City,Latitude,Longitude,Channel,Device,Ad,Impressions,CTR,Clicks,Daily_Average_CPC,Spend_(GBP),Conversions,Total_conversion value_(GBP),Likes_(Reactions),Shares,Comments
Spring ,3/1/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1110.8,0.019,21,1.39,29,1,51.84,45,4,3
Spring ,3/2/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1296.6,0.011,14,0.72,10,2,40.32,14,17,11
Spring ,3/3/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1264.4,0.013,17,0.38,6,4,53.76,24,1,8
Spring ,3/4/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,837.8,0.016,13,0.58,8,3,25.92,59,10,6
Spring ,3/5/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1599,0.014,23,0.83,19,2,108.19,44,17,2
Spring ,3/6/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,893.6,0.019,17,0.31,5,4,20.16,57,3,3
Spring ,3/7/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1540.8,0.015,23,1.53,35,0,14.4,44,0,3
Spring ,3/8/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,994.8,0.014,14,0.3,4,0,23.04,9,9,6
Spring ,3/9/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1336.6,0.012,16,0.17,3,2,13.44,33,12,0
Spring ,3/10/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1001.8,0.014,14,0.53,7,4,0,9,17,0
Spring ,3/11/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1141.2,0.012,13,0.89,12,4,58.46,37,4,9
Spring ,3/12/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1304.2,0.015,19,1.16,23,4,21.12,29,6,11
Spring ,3/13/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,878.4,0.010,9,0.29,3,5,162.62,20,2,9
Spring ,3/14/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1211.8,0.013,16,1.35,22,5,129.7,39,13,6
Spring ,3/15/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,962.2,0.015,15,0.38,6,6,115.58,9,6,2
Spring ,3/16/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1254,0.019,24,0.78,19,2,21.12,29,17,8
Spring ,3/17/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1261.4,0.016,21,0.25,5,2,68.54,43,4,3
Spring ,3/18/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1591.4,0.017,27,1.07,29,1,24.96,36,3,6
Spring ,3/19/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,823.8,0.013,11,1.18,13,1,61.82,16,7,3
Spring ,3/20/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1318.4,0.012,16,0.98,16,3,26.88,22,17,3
Spring ,3/21/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1669.6,0.012,20,0.33,7,5,15.36,20,18,12
Spring ,3/22/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1417,0.018,25,1.39,35,3,23.04,28,17,11
Spring ,3/23/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1290.4,0.013,17,0.1,2,2,58.46,20,2,3
Spring ,3/24/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1336.6,0.011,14,0.16,2,5,49.92,49,2,3
Spring ,3/25/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1315.6,0.014,19,1.47,27,2,46.08,19,12,2
Spring ,3/26/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1479,0.019,28,0.98,27,2,13.44,23,21,2
Spring ,3/27/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1472.2,0.020,29,0.32,9,4,24.96,59,12,3
Spring ,3/28/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1356,0.011,15,1.25,19,1,35.52,33,1,11
Spring ,3/29/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,904,0.013,12,1.32,15,5,10.56,22,18,8
Spring ,3/30/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1424.2,0.016,23,0.67,15,3,52.42,34,4,3
Spring ,3/31/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1372.8,0.010,14,0.05,1,1,56.45,49,2,6
Spring ,4/1/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,807,0.012,10,0.47,4,0,43.01,60,13,11
Spring ,4/2/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1011.4,0.019,19,0.18,3,0,59.14,50,14,5
Spring ,4/3/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1605,0.016,25,0.87,22,3,57.79,8,3,2
Spring ,4/4/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1111,0.019,21,0.72,15,5,23.04,15,16,3
Spring ,4/5/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1035.8,0.014,14,0.9,13,5,16.32,46,13,6
Spring ,4/6/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,957.2,0.012,11,0.84,9,3,57.6,37,1,8
Spring ,4/7/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1057.8,0.017,18,1.22,22,3,35.52,60,7,5
Spring ,4/8/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1459.6,0.017,24,0.08,2,3,23.04,20,5,9
Spring ,4/9/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1062.2,0.012,13,0.58,8,4,43.68,48,11,9
Spring ,4/10/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1137.4,0.015,17,0.31,5,5,1.92,22,12,0
Spring ,4/11/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1158,0.013,15,0.43,6,2,45.02,49,2,6
Spring ,4/12/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1227.2,0.012,14,0.35,5,5,22.08,13,3,0
Spring ,4/13/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1416.2,0.018,25,1.02,26,3,38.4,55,2,9
Spring ,4/14/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1042,0.018,19,0.68,13,0,50.88,40,1,9
Spring ,4/15/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,896.6,0.014,12,0.49,6,2,8.64,50,3,0
Spring ,4/16/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1483.4,0.013,20,1.29,26,2,36.48,11,3,0
Spring ,4/17/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,724.6,0.012,9,1.45,13,4,0.96,24,4,9
Spring ,4/18/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,931.2,0.015,14,0.68,9,0,95.42,53,24,8
Spring ,4/19/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,863,0.012,10,0.86,9,0,51.74,25,1,9
Spring ,4/20/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1147,0.015,18,0.85,15,4,131.71,41,8,0
Spring ,4/21/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1421.4,0.018,25,0.15,4,1,144.48,32,9,11
Spring ,4/22/2023,Birmingham,52.489471,-1.898575,Facebook,Desktop,Collection,1060,0.018,19,1.43,27,4,210.34,61,2,5
